id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.standby_monthly_consumption,specs.family_id,specs.family_unicode,specs.family_name,specs.bundle_id,specs.bundle_unicode,specs.bundle_name,specs.energy_efficiency_id,specs.energy_efficiency_unicode,specs.energy_efficiency_name,specs.energy_efficiency_value,specs.video_ports_id,specs.video_ports_unicode,specs.video_ports_quantity,specs.video_ports_port_id,specs.video_ports_port_unicode,specs.video_ports_port_port_id,specs.video_ports_port_port_unicode,specs.video_ports_port_port_name,specs.speakers_id,specs.speakers_unicode,specs.speakers_value,specs.panel_type_id,specs.panel_type_unicode,specs.panel_type_name,specs.resolution_id,specs.resolution_unicode,specs.resolution_v_value,specs.resolution_h_value,specs.resolution_total_pixels,specs.resolution_aspect_ratio_id,specs.resolution_aspect_ratio_unicode,specs.resolution_aspect_ratio_h_value,specs.resolution_aspect_ratio_v_value,specs.resolution_commercial_name,specs.name,specs.is_smart_tv,specs.size_id,specs.size_unicode,specs.size_family_id,specs.size_family_unicode,specs.size_family_value,specs.size_family_lg_cac_segment_id,specs.size_family_lg_cac_segment_unicode,specs.size_family_lg_cac_segment_name,specs.size_family_lg_cl_segment_id,specs.size_family_lg_cl_segment_unicode,specs.size_family_lg_cl_segment_name,specs.size_family_lg_cl_segment_ordering,specs.size_value,specs.display_id,specs.display_unicode,specs.display_dtype_id,specs.display_dtype_unicode,specs.display_dtype_name,specs.display_backlight,specs.line_id,specs.line_unicode,specs.line_brand_id,specs.line_brand_unicode,specs.line_brand_brand_id,specs.line_brand_brand_unicode,specs.line_brand_brand_name,specs.line_brand_is_reputable,specs.is_3d,specs.digital_tuner_id,specs.digital_tuner_unicode,specs.digital_tuner_ordering,specs.digital_tuner_name,specs.usb_ports,specs.picture,specs.refresh_rate_id,specs.refresh_rate_unicode,specs.refresh_rate_value,specs.average_monthly_consumption,specs.standby_power,specs.active_power,specs.brand_unicode,specs.pretty_usb_ports,specs.pretty_video_ports,specs.model_name,specs.family_bundle_key,specs.lg_cac_segment,specs.line_name,catIPC
121499,Onn 24D1-FISDB,1083,Onn,1467442,2021-09-30T17:28:49.670299+00:00,2021-09-30T17:29:17.029925+00:00,"Onn 24D1-FISDB 0.0 Desconocido Desconocido Sin bundle Sin bundle Desconocido Desconocido 10 2x HDMI 2 HDMI HDMI HDMI 2x 5 W 5 TN TN HD (1366x768) 768 1366 1049088 16:9 16 9 HD 24D1-FISDB False 24.0"" 24"" 24 0 - 31"" 0 - 31"" Menos de 32"" Menos de 32"" 1 24.0 LED LCD LCD LED Onn None Onn Onn Onn False False Desconocido 9 Desconocido 2 60 Hz 60 0.0 0.0 0.0",https://publicapi.solotodo.com/products/121499/,https://publicapi.solotodo.com/categories/11/,onn-24d1-fisdb,https://media.solotodo.com/media/products/1467442_picture_1633022955.jfif,1467442,Onn 24D1-FISDB,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,[282125],['2x HDMI'],[2],[281644],['HDMI'],[280769],['HDMI'],['HDMI'],280660,2x 5 W,5,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,24D1-FISDB,False,281281,"24.0""",280323,"24""",24,1185190,"0 - 31""","0 - 31""",1186857,"Menos de 32""","Menos de 32""",1,24.0,281170,LED,280232,LCD,LCD,LED,492460,Onn,492458,Onn,492456,Onn,Onn,False,False,635632,Desconocido,9,Desconocido,2,products/1467442_picture_1633022955.jfif,279202,60 Hz,60,0.0,0.0,0.0,Onn,2,2x HDMI,None 24D1-FISDB,1392299872528.0,LED,,televisores
83915,Nex TVNE07PV20,659,Nex,1202812,2020-07-23T06:26:18.735227+00:00,2020-10-17T12:39:54.283189+00:00,"Nex TVNE07PV20 False 1 False 24.0"" 24"" 0 - 31"" 0 - 31"" Menos de 32"" Menos de 32"" 1 24 24.0 LED LED LCD LCD 2x HDMI HDMI HDMI HDMI 2 Desconocido Desconocido 9 60 Hz 60 TN TN Desconocido 10 Desconocido 0.0 2x 10 W 10 0.0 Desconocido Desconocido HD (1366x768) 16:9 9 16 HD 1049088 768 1366 0.0 Sin bundle Sin bundle 0.0 TVNE07PV20 Nex   Nex Nex Nex True",https://publicapi.solotodo.com/products/83915/,https://publicapi.solotodo.com/categories/11/,nex-tvne07pv20,https://media.solotodo.com/media/products/1184515_picture_1592495760.jpg,1202812,Nex TVNE07PV20,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,[282125],['2x HDMI'],[2],[281644],['HDMI'],[280769],['HDMI'],['HDMI'],280677,2x 10 W,10,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,TVNE07PV20,False,281281,"24.0""",280323,"24""",24,1185190,"0 - 31""","0 - 31""",1186857,"Menos de 32""","Menos de 32""",1,24.0,281170,LED,280232,LCD,LCD,LED,281925,Nex,281046,Nex,279856,Nex,Nex,True,False,635632,Desconocido,9,Desconocido,1,products/1184515_picture_1592495760.jpg,279202,60 Hz,60,0.0,0.0,0.0,Nex,1,2x HDMI,TVNE07PV20,1392299872528.0,LED, ,televisores
70603,LG 24TL520S-PS,848,LG,1035558,2019-12-24T11:01:20.283867+00:00,2020-10-17T12:20:13.103984+00:00,"LG 24TL520S-PS True 1 False 24.0"" 24"" 0 - 31"" 0 - 31"" Menos de 32"" Menos de 32"" 1 24 24.0 LED LED LCD LCD 1x Componente Componente Componente Componente 1 1x Composite Composite Composite Composite 1 2x HDMI HDMI HDMI HDMI 2 ISDB-T (Norma chilena) ISDB-T (Norma chilena) 2 60 Hz 60 TN TN Desconocido 10 Desconocido 0.0 2x 5 W 5 0.0 LG TL520S-PS LG TL520S-PS HD (1366x768) 16:9 9 16 HD 1049088 768 1366 0.0 Sin bundle Sin bundle 0.0 24TL520S-PS LG   LG LG LG True",https://publicapi.solotodo.com/products/70603/,https://publicapi.solotodo.com/categories/11/,lg-24tl520s-ps,https://media.solotodo.com/media/products/1035558_picture_1577185393.jpg,1035558,LG 24TL520S-PS,0.0,1035568,LG TL520S-PS,LG TL520S-PS,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,"[282074, 282082, 282125]","['1x Componente', '1x Composite', '2x HDMI']","[1, 1, 2]","[281634, 281638, 281644]","['Componente', 'Composite', 'HDMI']","[280749, 280752, 280769]","['Componente', 'Composite', 'HDMI']","['Componente', 'Composite', 'HDMI']",280660,2x 5 W,5,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,24TL520S-PS,True,281281,"24.0""",280323,"24""",24,1185190,"0 - 31""","0 - 31""",1186857,"Menos de 32""","Menos de 32""",1,24.0,281170,LED,280232,LCD,LCD,LED,281878,LG,281011,LG,279735,LG,LG,True,False,279056,ISDB-T (Norma chilena),2,ISDB-T (Norma chilena),1,products/1035558_picture_1577185393.jpg,279202,60 Hz,60,0.0,0.0,0.0,LG,1,1x Componente | 1x Composite | 2x HDMI,24TL520S-PS,1754028814102.0,LED, ,televisores
24884,Master-G MGLNX3290I,2,Master-G,485735,2016-03-27T00:00:00+00:00,2020-10-17T11:27:01.149277+00:00,"Master-G MGLNX3290I False 2 False 32.0"" 32"" 32 - 43"" 32 - 43"" 32"" a 44"" 32"" a 44"" 2 32 32.0 LED LED LCD LCD 1x Componente Componente Componente Componente 1 1x Composite Composite Composite Composite 1 2x HDMI HDMI HDMI HDMI 2 1x S-Video S-Video S-Video S-Video 1 1x VGA VGA VGA VGA 1 ISDB-T (Norma chilena) ISDB-T (Norma chilena) 2 60 Hz 60 TN TN A+ 3 A+ 0.0 2x 10 W 10 3.2 Desconocido Desconocido HD (1366x768) 16:9 9 16 HD 1049088 768 1366 26.5 Sin bundle Sin bundle 0.4 MGLNX3290I Master-G       Master-G Master-G Master-G True",https://publicapi.solotodo.com/products/24884/,https://publicapi.solotodo.com/categories/11/,master-g-mglnx3290i,https://media.solotodo.com/media/products/485735_picture_1594065317.jpg,485735,Master-G MGLNX3290I,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609799,A+,A+,3,"[282074, 282082, 282125, 282151, 282166]","['1x Componente', '1x Composite', '2x HDMI', '1x S-Video', '1x VGA']","[1, 1, 2, 1, 1]","[281634, 281638, 281644, 281646, 281649]","['Componente', 'Composite', 'HDMI', 'S-Video', 'VGA']","[280749, 280752, 280769, 280796, 280812]","['Componente', 'Composite', 'HDMI', 'S-Video', 'VGA']","['Componente', 'Composite', 'HDMI', 'S-Video', 'VGA']",280677,2x 10 W,10,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,MGLNX3290I,False,281344,"32.0""",280366,"32""",32,1185192,"32 - 43""","32 - 43""",1186860,"32"" a 44""","32"" a 44""",2,32.0,281170,LED,280232,LCD,LCD,LED,281887,Master-G,281017,Master-G,279777,Master-G,Master-G,True,False,279056,ISDB-T (Norma chilena),2,ISDB-T (Norma chilena),2,products/485735_picture_1594065317.jpg,279202,60 Hz,60,3.2,0.4,26.5,Master-G,2,1x Componente | 1x Composite | 2x HDMI | 1x S-Video | 1x VGA,MGLNX3290I,1392299872528.0,LED,     ,televisores
61474,Winia L32V750BAS,7213,Winia,932371,2019-05-26T17:14:17.191363+00:00,2021-08-05T14:24:34.720671+00:00,"Winia L32V750BAS 0.0 0.0 Desconocido 10 Desconocido 0.0 Desconocido Desconocido Sin bundle Sin bundle 0.0 2 False Winia Winia Winia Winia True None LED LCD LCD LED 32.0"" 32.0 32"" 32 - 43"" 32 - 43"" 32"" a 44"" 2 32"" a 44"" 32 HD (1366x768) 1366 HD 1049088 768 16:9 9 16 TN TN 2x 7 W 7 1x Componente Componente Componente Componente 1 1x Composite Composite Composite Composite 1 3x HDMI HDMI HDMI HDMI 3 1x VGA VGA VGA VGA 1 60 Hz 60 Desconocido Desconocido 9 True L32V750BAS",https://publicapi.solotodo.com/products/61474/,https://publicapi.solotodo.com/categories/11/,winia-l32v750bas,https://media.solotodo.com/media/products/932371_picture_1628172653.jpg,932371,Winia L32V750BAS,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,"[282074, 282082, 282132, 282166]","['1x Componente', '1x Composite', '3x HDMI', '1x VGA']","[1, 1, 3, 1]","[281634, 281638, 281644, 281649]","['Componente', 'Composite', 'HDMI', 'VGA']","[280749, 280752, 280769, 280812]","['Componente', 'Composite', 'HDMI', 'VGA']","['Componente', 'Composite', 'HDMI', 'VGA']",280666,2x 7 W,7,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,L32V750BAS,True,281344,"32.0""",280366,"32""",32,1185192,"32 - 43""","32 - 43""",1186860,"32"" a 44""","32"" a 44""",2,32.0,281170,LED,280232,LCD,LCD,LED,281760,Winia,280895,Winia,1434688,Winia,Winia,True,False,635632,Desconocido,9,Desconocido,2,products/932371_picture_1628172653.jpg,279202,60 Hz,60,0.0,0.0,0.0,Winia,2,1x Componente | 1x Composite | 3x HDMI | 1x VGA,None L32V750BAS,1392299872528.0,LED,,televisores
117810,Master-G MGS2410XP,2,Master-G,1439400,2021-08-15T07:06:19.511661+00:00,2021-08-15T07:07:58.306677+00:00,"Master-G MGS2410XP 0.0 0.0 Desconocido 10 Desconocido 0.0 Desconocido Desconocido Sin bundle Sin bundle 0.0 2 False Master-G Master-G Master-G Master-G True       LED LCD LCD LED 24.0"" 24.0 24"" 0 - 31"" 0 - 31"" Menos de 32"" 1 Menos de 32"" 24 HD (1366x768) 1366 HD 1049088 768 16:9 9 16 TN TN 2x 4 W 4 1x Componente Componente Componente Componente 1 2x HDMI HDMI HDMI HDMI 2 60 Hz 60 ISDB-T (Norma chilena) ISDB-T (Norma chilena) 2 True MGS2410XP",https://publicapi.solotodo.com/products/117810/,https://publicapi.solotodo.com/categories/11/,master-g-mgs2410xp,https://media.solotodo.com/media/products/1439400_picture_1629011276.jpg,1439400,Master-G MGS2410XP,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,"[282074, 282125]","['1x Componente', '2x HDMI']","[1, 2]","[281634, 281644]","['Componente', 'HDMI']","[280749, 280769]","['Componente', 'HDMI']","['Componente', 'HDMI']",280657,2x 4 W,4,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,MGS2410XP,True,281281,"24.0""",280323,"24""",24,1185190,"0 - 31""","0 - 31""",1186857,"Menos de 32""","Menos de 32""",1,24.0,281170,LED,280232,LCD,LCD,LED,281887,Master-G,281017,Master-G,279777,Master-G,Master-G,True,False,279056,ISDB-T (Norma chilena),2,ISDB-T (Norma chilena),2,products/1439400_picture_1629011276.jpg,279202,60 Hz,60,0.0,0.0,0.0,Master-G,2,1x Componente | 2x HDMI,MGS2410XP,1392299872528.0,LED,     ,televisores
89041,Gear 3220TH,889,Gear,1254458,2020-10-21T22:18:24.033627+00:00,2020-10-21T22:19:12.109398+00:00,"Gear 3220TH False 1 False 32.0"" 32"" 32 - 43"" 32 - 43"" 32"" a 44"" 32"" a 44"" 2 32 32.0 LED LED LCD LCD 3x HDMI HDMI HDMI HDMI 3 1x VGA VGA VGA VGA 1 Desconocido Desconocido 9 60 Hz 60 TN TN Desconocido 10 Desconocido 0.0 2x 8 W 8 0.0 Gear 20TH Gear 20TH HD (1366x768) 16:9 9 16 HD 1049088 768 1366 0.0 Sin bundle Sin bundle 0.0 3220TH Gear None Gear Gear Gear True",https://publicapi.solotodo.com/products/89041/,https://publicapi.solotodo.com/categories/11/,gear-3220th,https://media.solotodo.com/media/products/1254458_picture_1603318750.jpg,1254458,Gear 3220TH,0.0,1254468,Gear 20TH,Gear 20TH,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,"[282132, 282166]","['3x HDMI', '1x VGA']","[3, 1]","[281644, 281649]","['HDMI', 'VGA']","[280769, 280812]","['HDMI', 'VGA']","['HDMI', 'VGA']",280669,2x 8 W,8,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,3220TH,False,281344,"32.0""",280366,"32""",32,1185192,"32 - 43""","32 - 43""",1186860,"32"" a 44""","32"" a 44""",2,32.0,281170,LED,280232,LCD,LCD,LED,818457,Gear,818455,Gear,818453,Gear,Gear,True,False,635632,Desconocido,9,Desconocido,1,products/1254458_picture_1603318750.jpg,279202,60 Hz,60,0.0,0.0,0.0,Gear,1,3x HDMI | 1x VGA,None 3220TH,2187982850552.0,LED,,televisores
108263,Master-G MGD3209X,2,Master-G,1382079,2021-04-30T11:50:14.297957+00:00,2021-04-30T11:51:34.092493+00:00,"Master-G MGD3209X 0.0 0.0 A 4 A 0.0 Desconocido Desconocido Sin bundle Sin bundle 0.0 0 False Master-G Master-G Master-G Master-G True       LED LCD LCD LED 32.0"" 32.0 32"" 32 - 43"" 32 - 43"" 32"" a 44"" 2 32"" a 44"" 32 HD (1366x768) 1366 HD 1049088 768 16:9 9 16 TN TN 2x 6 W 6 2x HDMI HDMI HDMI HDMI 2 60 Hz 60 ISDB-T (Norma chilena) ISDB-T (Norma chilena) 2 False MGD3209X",https://publicapi.solotodo.com/products/108263/,https://publicapi.solotodo.com/categories/11/,master-g-mgd3209x,https://media.solotodo.com/media/products/1382079_picture_1619783492.jpg,1382079,Master-G MGD3209X,0.0,831299,Desconocido,Desconocido,837412.0,Sin bundle,Sin bundle,609802,A,A,4,[282125],['2x HDMI'],[2],[281644],['HDMI'],[280769],['HDMI'],['HDMI'],280663,2x 6 W,6,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,MGD3209X,False,281344,"32.0""",280366,"32""",32,1185192,"32 - 43""","32 - 43""",1186860,"32"" a 44""","32"" a 44""",2,32.0,281170,LED,280232,LCD,LCD,LED,281887,Master-G,281017,Master-G,279777,Master-G,Master-G,True,False,279056,ISDB-T (Norma chilena),2,ISDB-T (Norma chilena),0,products/1382079_picture_1619783492.jpg,279202,60 Hz,60,0.0,0.0,0.0,Master-G,No posee,2x HDMI,MGD3209X,1392299872528.0,LED,     ,televisores
40383,Samsung LT24H310HLB,996,Samsung,690207,2017-10-31T00:00:00+00:00,2020-10-17T11:46:24.647097+00:00,"Samsung LT24H310HLB False 1 False 24.0"" 24"" 0 - 31"" 0 - 31"" Menos de 32"" Menos de 32"" 1 24 24.0 LED LED LCD LCD 2x HDMI HDMI HDMI HDMI 2 ISDB-T (Norma chilena) ISDB-T (Norma chilena) 2 60 Hz 60 TN TN Desconocido 10 Desconocido 0.0 2x 5 W 5 0.0 Samsung LT H310 Samsung LT H310 HD (1366x768) 16:9 9 16 HD 1049088 768 1366 0.0 Sin bundle Sin bundle 0.0 LT24H310HLB Samsung   Samsung Samsung Samsung True",https://publicapi.solotodo.com/products/40383/,https://publicapi.solotodo.com/categories/11/,samsung-lt24h310hlb,https://media.solotodo.com/media/products/690207_picture_1530114188.0,690207,Samsung LT24H310HLB,0.0,831379,Samsung LT H310,Samsung LT H310,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,[282125],['2x HDMI'],[2],[281644],['HDMI'],[280769],['HDMI'],['HDMI'],280660,2x 5 W,5,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,LT24H310HLB,False,281281,"24.0""",280323,"24""",24,1185190,"0 - 31""","0 - 31""",1186857,"Menos de 32""","Menos de 32""",1,24.0,281170,LED,280232,LCD,LCD,LED,281981,Samsung,281102,Samsung,280018,Samsung,Samsung,True,False,279056,ISDB-T (Norma chilena),2,ISDB-T (Norma chilena),1,products/690207_picture_1530114188.0,279202,60 Hz,60,0.0,0.0,0.0,Samsung,1,2x HDMI,LT24H310HLB,1392433372648.0,LED, ,televisores
61641,BGH B3218K4IC,581,BGH,934071,2019-05-31T20:08:44.297191+00:00,2020-10-17T12:09:43.189770+00:00,"BGH B3218K4IC False 1 False 32.0"" 32"" 32 - 43"" 32 - 43"" 32"" a 44"" 32"" a 44"" 2 32 32.0 LED LED LCD LCD 2x HDMI HDMI HDMI HDMI 2 Desconocido Desconocido 9 60 Hz 60 TN TN Desconocido 10 Desconocido 0.0 2x 5 W 5 0.0 BGH 18K4IC BGH 18K4IC HD (1366x768) 16:9 9 16 HD 1049088 768 1366 0.0 Sin bundle Sin bundle 0.0 B3218K4IC BGH None BGH BGH BGH False",https://publicapi.solotodo.com/products/61641/,https://publicapi.solotodo.com/categories/11/,bgh-b3218k4ic,https://media.solotodo.com/media/products/934071_picture_1559333471.webp,934071,BGH B3218K4IC,0.0,934081,BGH 18K4IC,BGH 18K4IC,837412.0,Sin bundle,Sin bundle,609814,Desconocido,Desconocido,10,[282125],['2x HDMI'],[2],[281644],['HDMI'],[280769],['HDMI'],['HDMI'],280660,2x 5 W,5,280603,TN,TN,281529,HD (1366x768),768,1366,1049088,280527,16:9,16,9,HD,B3218K4IC,False,281344,"32.0""",280366,"32""",32,1185192,"32 - 43""","32 - 43""",1186860,"32"" a 44""","32"" a 44""",2,32.0,281170,LED,280232,LCD,LCD,LED,492372,BGH,492370,BGH,492368,BGH,BGH,False,False,635632,Desconocido,9,Desconocido,1,products/934071_picture_1559333471.webp,279202,60 Hz,60,0.0,0.0,0.0,BGH,1,2x HDMI,None B3218K4IC,1569095447683.0,LED,,televisores
