id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.freezing_compartment_temperature,specs.freezer_capacity,specs.has_ice_dispenser,specs.door_style_id,specs.door_style_unicode,specs.door_style_name,specs.brand_id,specs.brand_unicode,specs.brand_name,specs.energy_efficiency_id,specs.energy_efficiency_unicode,specs.energy_efficiency_name,specs.energy_efficiency_value,specs.frosting_id,specs.frosting_unicode,specs.frosting_name,specs.r_format_id,specs.r_format_unicode,specs.r_format_name,specs.refrigerator_capacity,specs.name,specs.picture,specs.consumption,specs.weight,specs.height,specs.width,specs.energy_efficiency_star_count_id,specs.energy_efficiency_star_count_unicode,specs.energy_efficiency_star_count_value,specs.energy_efficiency_star_count_name,specs.bundle_id,specs.bundle_unicode,specs.bundle_name,specs.has_water_dispenser,specs.depth,specs.pretty_refrigerator_capacity,specs.pretty_freezer_capacity,specs.pretty_dimensions,specs.pretty_weight,specs.total_capacity,specs.pretty_total_capacity,specs.lg_cl_total_capacity_segment,specs.pretty_consumption,specs.sorting_consumption,catIPC
13849,Nex CR-52,659,Nex,350296,2013-12-08T00:00:00+00:00,2020-10-17T11:12:15.140026+00:00,Nex CR-52 -6.0 50.0 False Normal Normal Nex Nex A+ A+ 1 Frío Directo Frío Directo Frigobar Frigobar 0.0 CR-52 9.0 17 492 472 Desconocido 0 Desconocido Sin bundle Sin bundle False 450,https://publicapi.solotodo.com/products/13849/,https://publicapi.solotodo.com/categories/15/,nex-cr-52,https://media.solotodo.com/media/products/CR-52.jpg,350296,Nex CR-52,-6.0,50.0,False,706150,Normal,Normal,325429,Nex,Nex,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,0.0,CR-52,products/CR-52.jpg,9.0,17,492,472,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,450,,50.0 L,472 x 492 x 450 mm,17 kg,50.0,50.0 L.,299 L. o menos,9.0 kWh/mes,9.0,refrigeradores
90872,Midea MDRD86FGF02,936,Midea,1263924,2020-11-06T14:37:01.566559+00:00,2021-10-04T18:51:00.827643+00:00,Midea MDRD86FGF02 MDRD86FGF02 492 45.0 0.0 0.0 14 False Frío Directo Frío Directo 8.72 Normal Normal 450 A+ 1 A+ 472 Desconocido 0 Desconocido Sin bundle Sin bundle False Midea Midea Frigobar Frigobar,https://publicapi.solotodo.com/products/90872/,https://publicapi.solotodo.com/categories/15/,midea-mdrd86fgf02,https://media.solotodo.com/media/products/1263924_picture_1604673500.jpg,1263924,Midea MDRD86FGF02,0.0,0.0,False,706150,Normal,Normal,325417,Midea,Midea,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,45.0,MDRD86FGF02,products/1263924_picture_1604673500.jpg,8.72,14,492,472,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,450,45.0 L,,472 x 492 x 450 mm,14 kg,45.0,45.0 L.,299 L. o menos,8.72 kWh/mes,8.72,refrigeradores
11926,Mademsa Celsius MR 50,864,Mademsa,347963,2013-10-15T00:00:00+00:00,2020-10-17T11:10:11.923019+00:00,Mademsa Celsius MR 50 0.0 0.0 False Normal Normal Mademsa Mademsa A+ A+ 1 Frío Directo Frío Directo Frigobar Frigobar 43.0 Celsius MR 50 11.5 21 492 472 Desconocido 0 Desconocido Sin bundle Sin bundle False 450,https://publicapi.solotodo.com/products/11926/,https://publicapi.solotodo.com/categories/15/,mademsa-celsius-mr-50,https://media.solotodo.com/media/products/3275343_1.jpg,347963,Mademsa Celsius MR 50,0.0,0.0,False,706150,Normal,Normal,325402,Mademsa,Mademsa,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,43.0,Celsius MR 50,products/3275343_1.jpg,11.5,21,492,472,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,450,43.0 L,,472 x 492 x 450 mm,21 kg,43.0,43.0 L.,299 L. o menos,11.5 kWh/mes,11.5,refrigeradores
122206,Sindelen FB-55BL,717,Sindelen,1471445,2021-10-07T13:00:10.649757+00:00,2021-10-07T13:00:55.322699+00:00,Sindelen FB-55BL FB-55BL 503 46.0 0.0 0.0 15 False Frío Directo Frío Directo 8.86 Normal Normal 456 A+ 1 A+ 453 Desconocido 0 Desconocido Sin bundle Sin bundle False Sindelen Sindelen Frigobar Frigobar,https://publicapi.solotodo.com/products/122206/,https://publicapi.solotodo.com/categories/15/,sindelen-fb-55bl,https://media.solotodo.com/media/products/1471445_picture_1633611653.jfif,1471445,Sindelen FB-55BL,0.0,0.0,False,706150,Normal,Normal,325453,Sindelen,Sindelen,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,46.0,FB-55BL,products/1471445_picture_1633611653.jfif,8.86,15,503,453,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,456,46.0 L,,453 x 503 x 456 mm,15 kg,46.0,46.0 L.,299 L. o menos,8.86 kWh/mes,8.86,refrigeradores
126786,Mabe RMF02LRX0 (Silver),826,Mabe,1505862,2021-12-07T14:13:36.014864+00:00,2021-12-07T14:13:58.813662+00:00,Mabe RMF02LRX0 (Silver) Sin bundle Sin bundle 447 Desconocido Desconocido 0 False 15 45.0 474 496 6.1 Normal Normal RMF02LRX0 (Silver) 0.0 0.0 False Mabe Mabe Frigobar Frigobar Frío Directo Frío Directo A++ 0 A++,https://publicapi.solotodo.com/products/126786/,https://publicapi.solotodo.com/categories/15/,mabe-rmf02lrx0-silver,https://media.solotodo.com/media/products/1505862_picture_1638886437.jpg,1505862,Mabe RMF02LRX0 (Silver),0.0,0.0,False,706150,Normal,Normal,325394,Mabe,Mabe,325558,A++,A++,0,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,45.0,RMF02LRX0 (Silver),products/1505862_picture_1638886437.jpg,6.1,15,496,474,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,447,45.0 L,,474 x 496 x 447 mm,15 kg,45.0,45.0 L.,299 L. o menos,6.1 kWh/mes,6.1,refrigeradores
23584,Nex CHF1100,659,Nex,350265,2016-01-31T00:00:00+00:00,2020-10-17T11:25:47.513944+00:00,Nex CHF1100 0.0 100.0 False Normal Normal Nex Nex B B 3 Frío Directo Frío Directo Freezer Freezer 0.0 CHF1100 0.0 0 860 558 Desconocido 0 Desconocido Sin bundle Sin bundle False 558,https://publicapi.solotodo.com/products/23584/,https://publicapi.solotodo.com/categories/15/,nex-chf1100,https://media.solotodo.com/media/products/CHF1100.jpg,350265,Nex CHF1100,0.0,100.0,False,706150,Normal,Normal,325429,Nex,Nex,325587,B,B,3,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,CHF1100,products/CHF1100.jpg,0.0,0,860,558,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,558,,100.0 L,558 x 860 x 558 mm,,100.0,100.0 L.,299 L. o menos,,100000000000000.0,refrigeradores
21869,Mademsa MMB 71B (1P 66 MB FD),864,Mademsa,348482,2015-10-09T00:00:00+00:00,2020-10-17T11:23:13.167031+00:00,Mademsa MMB 71B (1P 66 MB FD) 0.0 0.0 False Normal Normal Mademsa Mademsa A+ A+ 1 Frío Directo Frío Directo Frigobar Frigobar 66.0 MMB 71B (1P 66 MB FD) 9.0 17 630 445 Desconocido 0 Desconocido Sin bundle Sin bundle False 510,https://publicapi.solotodo.com/products/21869/,https://publicapi.solotodo.com/categories/15/,mademsa-mmb-71b-1p-66-mb-fd,https://media.solotodo.com/media/products/MMB-71.jpg,348482,Mademsa MMB 71B (1P 66 MB FD),0.0,0.0,False,706150,Normal,Normal,325402,Mademsa,Mademsa,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,66.0,MMB 71B (1P 66 MB FD),products/MMB-71.jpg,9.0,17,630,445,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,510,66.0 L,,445 x 630 x 510 mm,17 kg,66.0,66.0 L.,299 L. o menos,9.0 kWh/mes,9.0,refrigeradores
14053,Libero LFH-100,1094,Libero,345263,2013-12-21T00:00:00+00:00,2020-10-17T11:12:34.517207+00:00,Libero LFH-100 -18.0 100.0 False Normal Normal Libero Libero A+ A+ 1 Frío Directo Frío Directo Freezer Freezer 0.0 LFH-100 13.2 31 845 568 3 3 3 Sin bundle Sin bundle False 560,https://publicapi.solotodo.com/products/14053/,https://publicapi.solotodo.com/categories/15/,libero-lfh-100,https://media.solotodo.com/media/products/LFH-100_.jpg,345263,Libero LFH-100,-18.0,100.0,False,706150,Normal,Normal,325391,Libero,Libero,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,LFH-100,products/LFH-100_.jpg,13.2,31,845,568,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,560,,100.0 L,568 x 845 x 560 mm,31 kg,100.0,100.0 L.,299 L. o menos,13.2 kWh/mes,13.2,refrigeradores
90000,Midea MFB-930S121LN,936,Midea,1258353,2020-10-27T22:13:07.849182+00:00,2021-03-21T16:44:35.746699+00:00,Midea MFB-930S121LN 472 9.0 False Midea Midea Frigobar Frigobar Frío Directo Frío Directo A+ A+ 1 Desconocido Desconocido 0 93.0 21 Sin bundle Sin bundle False 450 0.0 Normal Normal MFB-930S121LN 9.0 860,https://publicapi.solotodo.com/products/90000/,https://publicapi.solotodo.com/categories/15/,midea-mfb-930s121ln,https://media.solotodo.com/media/products/1258353_picture_1616345074.jpg,1258353,Midea MFB-930S121LN,0.0,9.0,False,706150,Normal,Normal,325417,Midea,Midea,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325522,Frigobar,Frigobar,93.0,MFB-930S121LN,products/1258353_picture_1616345074.jpg,9.0,21,860,472,640520,Desconocido,0,Desconocido,836764.0,Sin bundle,Sin bundle,False,450,93.0 L,9.0 L,472 x 860 x 450 mm,21 kg,102.0,102.0 L.,299 L. o menos,9.0 kWh/mes,9.0,refrigeradores
86945,Mademsa MFH-1000B131CN,864,Mademsa,1236619,2020-09-28T13:15:53.852611+00:00,2020-10-17T12:45:06.971036+00:00,Mademsa MFH-1000B131CN -18.0 99.0 False Normal Normal Mademsa Mademsa A+ A+ 1 Frío Directo Frío Directo Freezer Freezer 0.0 MFH-1000B131CN 14.17 0 845 540 3 3 3 Sin bundle Sin bundle False 500,https://publicapi.solotodo.com/products/86945/,https://publicapi.solotodo.com/categories/15/,mademsa-mfh-1000b131cn,https://media.solotodo.com/media/products/1236619_picture_1601299051.jpg,1236619,Mademsa MFH-1000B131CN,-18.0,99.0,False,706150,Normal,Normal,325402,Mademsa,Mademsa,325570,A+,A+,1,325547,Frío Directo,Frío Directo,325512,Freezer,Freezer,0.0,MFH-1000B131CN,products/1236619_picture_1601299051.jpg,14.17,0,845,540,640532,3,3,3,836764.0,Sin bundle,Sin bundle,False,500,,99.0 L,540 x 845 x 500 mm,,99.0,99.0 L.,299 L. o menos,14.17 kWh/mes,14.17,refrigeradores
