id,name,brand_id,brand_name,instance_model_id,creation_date,last_updated,keywords,url,category,slug,picture_url,specs.id,specs.unicode,specs.w_type_id,specs.w_type_unicode,specs.w_type_name,specs.name,specs.picture,specs.height,specs.width,specs.depth,specs.drum_material_id,specs.drum_material_unicode,specs.drum_material_name,specs.power_id,specs.power_unicode,specs.power_value,specs.capacity_id,specs.capacity_unicode,specs.capacity_value,specs.w_format_id,specs.w_format_unicode,specs.w_format_name,specs.washing_energy_efficiency_id,specs.washing_energy_efficiency_unicode,specs.washing_energy_efficiency_value,specs.washing_energy_efficiency_name,specs.energy_efficiency_id,specs.energy_efficiency_unicode,specs.energy_efficiency_name,specs.energy_efficiency_value,specs.weight,specs.brand_id,specs.brand_unicode,specs.brand_name,specs.color_id,specs.color_unicode,specs.color_name,specs.control_type_id,specs.control_type_unicode,specs.control_type_name,specs.drying_energy_efficiency_id,specs.drying_energy_efficiency_unicode,specs.drying_energy_efficiency_name,specs.drying_energy_efficiency_value,specs.drying_capacity_id,specs.drying_capacity_unicode,specs.drying_capacity_value,specs.pretty_dimensions,specs.pretty_weight,specs.lg_cl_capacity,specs.pretty_lg_cl_capacity,specs.lg_cl_capacity_segment,catIPC
42616,Karson H-802,481,Karson,718800,2018-02-15T00:00:00+00:00,2020-10-17T11:49:22.166985+00:00,Karson H-802 Secadora Secadora H-802 2000 700 700 Bolsa Bolsa Desconocido 0 9 kg. 9000 Frontal Frontal No Aplica 20 No Aplica No Aplica No Aplica 10 9000 Karson Karson Azul Azul No posee No posee Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/42616/,https://publicapi.solotodo.com/categories/19/,karson-h-802,https://media.solotodo.com/media/products/718800_picture_1518684183.jpg,718800,Karson H-802,362016,Secadora,Secadora,H-802,products/718800_picture_1518684183.jpg,2000,700,700,598847,Bolsa,Bolsa,362124,Desconocido,0,362568,9 kg.,9000,362689,Frontal,Frontal,601441,No Aplica,20,No Aplica,601438,No Aplica,No Aplica,10,9000,718807,Karson,Karson,362023,Azul,Azul,362070,No posee,No posee,592974,Desconocido,Desconocido,11,850170,,0,700 x 2000 x 700 mm,9.0 kg.,9000,9 kg.,9.9 kg. o menos,lavadoras_secadoras
24629,Sindelen SR-10,717,Sindelen,483373,2016-03-17T00:00:00+00:00,2020-10-17T11:26:47.767553+00:00,Sindelen SR-10 Secadora Secadora SR-10 1470 680 430 Plástico Plástico 800 W. 800 10 kg. 10000 Frontal Frontal No Aplica 20 No Aplica No Aplica No Aplica 10 0 Sindelen Sindelen Blanco Blanco Análogo Análogo Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/24629/,https://publicapi.solotodo.com/categories/19/,sindelen-sr-10,https://media.solotodo.com/media/products/483373_picture.jpg,483373,Sindelen SR-10,362016,Secadora,Secadora,SR-10,products/483373_picture.jpg,1470,680,430,362109,Plástico,Plástico,483380,800 W.,800,362590,10 kg.,10000,362689,Frontal,Frontal,601441,No Aplica,20,No Aplica,601438,No Aplica,No Aplica,10,0,361933,Sindelen,Sindelen,362033,Blanco,Blanco,362063,Análogo,Análogo,592974,Desconocido,Desconocido,11,850170,,0,680 x 1470 x 430 mm,Desconocido,10000,10 kg.,10 a 15.9 kg.,lavadoras_secadoras
36822,LG DF9WPN,848,LG,642402,2017-06-13T00:00:00+00:00,2020-10-17T11:41:49.466913+00:00,LG DF9WPN Secadora Secadora DF9WPN 850 600 690 Acero Inoxidable Acero Inoxidable Desconocido 0 9 kg. 9000 Frontal Frontal No Aplica 20 No Aplica Desconocido Desconocido 20 46000 LG LG Blanco Blanco Digital Digital Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/36822/,https://publicapi.solotodo.com/categories/19/,lg-df9wpn,https://media.solotodo.com/media/products/642402_picture_1497354550.PNG,642402,LG DF9WPN,362016,Secadora,Secadora,DF9WPN,products/642402_picture_1497354550.PNG,850,600,690,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362568,9 kg.,9000,362689,Frontal,Frontal,601441,No Aplica,20,No Aplica,592965,Desconocido,Desconocido,20,46000,361871,LG,LG,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,600 x 850 x 690 mm,46.0 kg.,9000,9 kg.,9.9 kg. o menos,lavadoras_secadoras
16527,Mademsa Primma 5B Blanco,864,Mademsa,375327,2014-07-30T00:00:00+00:00,2020-10-17T11:15:38.886007+00:00,Mademsa Primma 5B Blanco Centrifuga Centrifuga Primma 5B Blanco 660 360 410 Acero Inoxidable Acero Inoxidable Desconocido 0 5.5 kg. 5500 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 9500 Mademsa Mademsa Blanco Blanco Análogo Análogo Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/16527/,https://publicapi.solotodo.com/categories/19/,mademsa-primma-5b-blanco,https://media.solotodo.com/media/products/img_view_4.jpg,375327,Mademsa Primma 5B Blanco,361977,Centrifuga,Centrifuga,Primma 5B Blanco,products/img_view_4.jpg,660,360,410,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362510,5.5 kg.,5500,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,9500,361890,Mademsa,Mademsa,362033,Blanco,Blanco,362063,Análogo,Análogo,592974,Desconocido,Desconocido,11,850170,,0,360 x 660 x 410 mm,9.5 kg.,5500,6 kg.,9.9 kg. o menos,lavadoras_secadoras
76602,Midea MLS-080BE04N,936,Midea,1104342,2020-03-10T19:31:36.188558+00:00,2020-10-17T12:28:24.636495+00:00,Midea MLS-080BE04N Lavadora automática Lavadora automática MLS-080BE04N 920 520 530 Acero Inoxidable Acero Inoxidable 400 W. 400 8 kg. 8000 Superior Superior E 8 E A A 4 35000 Midea Midea Blanco Blanco Digital Digital E E 8 N/A 0,https://publicapi.solotodo.com/products/76602/,https://publicapi.solotodo.com/categories/19/,midea-mls-080be04n,https://media.solotodo.com/media/products/1104342_picture_1583868841.jfif,1104342,Midea MLS-080BE04N,361990,Lavadora automática,Lavadora automática,MLS-080BE04N,products/1104342_picture_1583868841.jfif,920,520,530,362098,Acero Inoxidable,Acero Inoxidable,362206,400 W.,400,362557,8 kg.,8000,362698,Superior,Superior,1101692,E,8,E,592944,A,A,4,35000,361914,Midea,Midea,362033,Blanco,Blanco,362066,Digital,Digital,593108,E,E,8,850170,,0,520 x 920 x 530 mm,35.0 kg.,8000,8 kg.,9.9 kg. o menos,lavadoras_secadoras
37593,Fensa Twister 5100-II,553,Fensa,651151,2017-07-12T00:00:00+00:00,2020-10-17T11:42:43.000916+00:00,Fensa Twister 5100-II Lavadora semiautomática Lavadora semiautomática Twister 5100-II 730 500 500 Acero Enlozado Acero Enlozado 260 W. 260 3 kg. 3000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 21000 Fensa Fensa Blanco Blanco Análogo Análogo No Aplica No Aplica 20 N/A 0,https://publicapi.solotodo.com/products/37593/,https://publicapi.solotodo.com/categories/19/,fensa-twister-5100-ii,https://media.solotodo.com/media/products/651151_picture_1499850115.jpg,651151,Fensa Twister 5100-II,361998,Lavadora semiautomática,Lavadora semiautomática,Twister 5100-II,products/651151_picture_1499850115.jpg,730,500,500,651149,Acero Enlozado,Acero Enlozado,362149,260 W.,260,362465,3 kg.,3000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,21000,361819,Fensa,Fensa,362033,Blanco,Blanco,362063,Análogo,Análogo,601444,No Aplica,No Aplica,20,850170,,0,500 x 730 x 500 mm,21.0 kg.,3000,3 kg.,9.9 kg. o menos,lavadoras_secadoras
76507,Midea MLS-08BE04N,936,Midea,1103361,2020-03-09T19:56:59.880909+00:00,2020-10-17T12:28:19.051174+00:00,Midea MLS-08BE04N Lavadora automática Lavadora automática MLS-08BE04N 920 515 525 Acero Inoxidable Acero Inoxidable Desconocido 0 8 kg. 8000 Superior Superior Desconocido 19 Desconocido Desconocido Desconocido 20 35000 Midea Midea Blanco Blanco Digital Digital Desconocido Desconocido 11 N/A 0,https://publicapi.solotodo.com/products/76507/,https://publicapi.solotodo.com/categories/19/,midea-mls-08be04n,https://media.solotodo.com/media/products/1103361_picture_1583783785.jpg,1103361,Midea MLS-08BE04N,361990,Lavadora automática,Lavadora automática,MLS-08BE04N,products/1103361_picture_1583783785.jpg,920,515,525,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362557,8 kg.,8000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,35000,361914,Midea,Midea,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,515 x 920 x 525 mm,35.0 kg.,8000,8 kg.,9.9 kg. o menos,lavadoras_secadoras
54131,LG WDP4V,848,LG,850300,2018-12-22T14:24:39.655187+00:00,2020-10-17T12:01:53.374674+00:00,LG WDP4V Pedestal Pedestal WDP4V 345 686 721 Plástico Plástico Desconocido 0 N/A 0 Superior Superior No Aplica 20 No Aplica No Aplica No Aplica 10 0 LG LG Gris Gris Análogo Análogo No Aplica No Aplica 20 N/A 0,https://publicapi.solotodo.com/products/54131/,https://publicapi.solotodo.com/categories/19/,lg-wdp4v,https://media.solotodo.com/media/products/850300_picture_1545488678.jpg,850300,LG WDP4V,850298,Pedestal,Pedestal,WDP4V,products/850300_picture_1545488678.jpg,345,686,721,362109,Plástico,Plástico,362124,Desconocido,0,850170,,0,362698,Superior,Superior,601441,No Aplica,20,No Aplica,601438,No Aplica,No Aplica,10,0,361871,LG,LG,362041,Gris,Gris,362063,Análogo,Análogo,601444,No Aplica,No Aplica,20,850170,,0,686 x 345 x 721 mm,Desconocido,0,,9.9 kg. o menos,lavadoras_secadoras
29171,Winia DWF-E81W,7213,Winia,541114,2016-10-24T00:00:00+00:00,2021-08-05T14:18:03.592999+00:00,Winia DWF-E81W Desconocido 0 DWF-E81W 863 525 535 Acero Inoxidable Acero Inoxidable 8 kg. 8000 Superior Superior 25600 Winia Winia Lavadora automática Lavadora automática Blanco Blanco Digital Digital Desconocido 11 Desconocido N/A 0 Desconocido Desconocido 19 Desconocido 20 Desconocido,https://publicapi.solotodo.com/products/29171/,https://publicapi.solotodo.com/categories/19/,winia-dwf-e81w,https://media.solotodo.com/media/products/541114_picture_1477320897.JPG,541114,Winia DWF-E81W,361990,Lavadora automática,Lavadora automática,DWF-E81W,products/541114_picture_1477320897.JPG,863,525,535,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362557,8 kg.,8000,362698,Superior,Superior,592962,Desconocido,19,Desconocido,592965,Desconocido,Desconocido,20,25600,361801,Winia,Winia,362033,Blanco,Blanco,362066,Digital,Digital,592974,Desconocido,Desconocido,11,850170,,0,525 x 863 x 535 mm,25.6 kg.,8000,8 kg.,9.9 kg. o menos,lavadoras_secadoras
76362,Midea MLS-090GE04N,936,Midea,1101685,2020-03-06T17:27:35.041815+00:00,2020-10-17T12:28:06.758998+00:00,Midea MLS-090GE04N Lavadora automática Lavadora automática MLS-090GE04N 920 515 525 Acero Inoxidable Acero Inoxidable Desconocido 0 9 kg. 9000 Superior Superior E 8 E A A 4 35000 Midea Midea Gris Gris Digital Digital E E 8 N/A 0,https://publicapi.solotodo.com/products/76362/,https://publicapi.solotodo.com/categories/19/,midea-mls-090ge04n,https://media.solotodo.com/media/products/1101685_picture_1583515793.jpg,1101685,Midea MLS-090GE04N,361990,Lavadora automática,Lavadora automática,MLS-090GE04N,products/1101685_picture_1583515793.jpg,920,515,525,362098,Acero Inoxidable,Acero Inoxidable,362124,Desconocido,0,362568,9 kg.,9000,362698,Superior,Superior,1101692,E,8,E,592944,A,A,4,35000,361914,Midea,Midea,362041,Gris,Gris,362066,Digital,Digital,593108,E,E,8,850170,,0,515 x 920 x 525 mm,35.0 kg.,9000,9 kg.,9.9 kg. o menos,lavadoras_secadoras
