id_tienda,name
1085,7Gamer
229,8-Bits
30,AbcDin
3,Acer Store
209,Agencias Way Online
279,AlfaOmega
55,AlKosto
288,All Gamers
1119,Allink Gamer
128,AllTec
274,Almacenes Japón
276,Almacenes La Ganga
149,Ama Hogar
165,Americanas
920,Ampera
275,Artefacta
2570,ASUS Store
138,Belight
123,BestBuy México
1712,Best Store
1184,BGOD Gaming
4,Bip
722,BitCenter
788,Bookcomputer
235,Bristol
285,Bulldog PC
93,Byp
2603,Café Digital
136,Carrefour
152,Carrefour Brasil
203,Casa Confort
147,Casa del Audio
98,CasaMusa
201,Casa Royal
168,Casas Bahia
398,CCLink
397,Centrale
755,Central Gamer
144,Cetrogar
2108,ChileGamerr
31,Cintegral
61,Claro
193,Claro Up
7,Clie
271,Comandato
2207,ComercialNet
2571,Computron
110,Conelectric
131,Coppel
60,Corona
127,Costco México
1052,Crazy Games
272,Créditos Económicos
204,Créditos Mundiales
240,Cyberpuerta
255,Danaus
3164,Darklight
97,David and Joseph
656,DazBog Store
3131,DCComputer
241,DD Tech
16,Dell
95,Demasled
2504,De Prati
426,Dgital
2043,DigiPlanet
261,Digiplot
251,Dimercom
268,Diunsa
202,Do It Center
1911,Dust2
88,Easy
143,Easy Argentina
1481,Ebenezer PC
139,Eglo
238,Electroban
1580,Electronica Budini
206,Electrónica Panamericana
145,Electropuntonet
291,Electroventas
2900,El Gallo más Gallo
283,Elite Center
2537,Eljuri Store
1382,Enarix
172,Enel X
38,Entel
723,EntercodeGaming
2801,ETChile
396,Eurogen
226,E Visión
119,Exito
164,Extra Brasil
559,EYC
9,Falabella
134,Falabella Argentina
78,Falabella Perú
525,Fama
326,Fiestalan
2273,Finall
133,Frávega
822,Full Color
2934,Gadtecnology
187,GamerHouse
3296,Gamerlab
1349,GameShark
289,Games Legends
2735,Gaming House
689,Gaming Store
132,Garbarino
459,Géant
109,GearBest
1679,Gelcom
427,Generación Gamers
1976,GGames
2240,Gigaclic
1217,Globalbox
21,GlobalMac
103,Gobantes
1448,Golden Gamers
217,Gollotienda
233,González Giménez
286,Good Computer
2274,Good-Game
1811,Gorilla Setups
247,Grupo Decme
66,Gtd
393,GWStore
284,HardGaming
1910,HardwareX
232,HBT
80,Hiraoka
87,Hites
1844,House of Gamers
27,HP Online
281,Huawei Shop
161,Ibyte
111,IluminaLed
113,ImpDali
263,Infographics Solutions
56,Infor-Ingen
1283,Infosep
2702,Ingtech
1845,Invasión Gamer
237,Inverfin
256,Isibook
2967,Jasaltec
