product_code,ipc_format,original,,,
1,Marca,brand_name,,,
1,Modelo,name,,,
1,LED,specs.display_unicode,,,
1,Pulgadas,specs.size_unicode,,,
1,Resolucion,specs.resolution_unicode,,,
1,SmartTV,specs.is_smart_tv,,,
1,Puertos USB,specs.usb_ports,,,
1,Tipo Panel,specs.panel_type_unicode,,,
1,Parlantes,specs.speakers_unicode,,,
1,id,id,,,
1,Tasa_Refresco,specs.refresh_rate_unicode,,,
1,catIPC,catIPC,,,
2,Marca,brand_name,,,
2,Pantalla,specs.screen_unicode,,,
2,Memoria interna,specs.internal_storage_unicode,,,
2,RAM,specs.ram_unicode,,,
2,Cámara principal,specs.back_camera_unicode,,,
2,Cámara frontal,specs.front_camera_unicode,,,
2,Memoria externa,specs.external_storage_unicode,,,
2,Batería,specs.pretty_battery_mah,,,
2,Sistema Operativo,specs.operating_system_unicode,,,
2,Procesador,specs.soc_unicode,,,
2,CPU,specs.soc_processor_unicode,,,
2,GPU,specs.soc_gpu_unicode,,,
2,Peso,specs.pretty_weight,,,
2,Ancho,specs.width,,,
2,Largo,specs.length,,,
2,Profundidad,specs.depth,,,
2,Conectividad,specs.grouped_network_generations,,,
2,Potencia carga,specs.charge_power_unicode,,,
2,Conector audifonos,specs.has_35_mm_jack,,,
2,Wi-Fi,specs.has_wifi,,,
2,GPS,specs.has_gps,,,
2,NFC,specs.has_nfc,,,
2,Bluetooth,specs.has_bluetooth,,,
2,Lector huellas,specs.has_fingerprint_reader,,,
2,id,id,,,
2,catIPC,catIPC,,,
2,Modelo,name,,,
3,Marca,brand_name,,,
3,Procesador,specs.processor_unicode,, ,
3,Batería,specs.pretty_battery,,,
3,Puertos,specs.ports_unicode,,,
3,Unidad óptica,specs.optical_drive_name,,,
3,Lector tarjetas,specs.card_reader_unicode,,,
3,id,id,,,
3,RAM,specs.pretty_ram,, ,
3,Almacenamiento,specs.storage_drive_unicode,,,
3,Peso,specs.weight,,,
3,WiFi,specs.wifi_card_unicode,,,
3,Lector huellas,specs.has_fingerprint_reader,,,
3,catIPC,catIPC,,,
3,Pantalla,specs.screen_unicode,,,
3,Tarjeta video,specs.processor_gpu_unicode,,,
3,Dimensiones,specs.pretty_dimensions,,,
3,Adaptador de energía,specs.power_adapter_unicode,,,
3,Modelo,name,,,
3,Sistema Operativo,specs.operating_system_unicode,,,
4,Marca,brand_name,,,
4,Eficiencia,specs.energy_efficiency_unicode,,,
4,Capacidad Freezer,specs.pretty_freezer_capacity,,,
4,Dispensador de agua,specs.has_water_dispenser,,, 
4,id,id,,,
4,Modelo,name,,,
4,Consumo,specs.pretty_consumption,,,
4,Tamaño,specs.pretty_dimensions,,,
4,Dispensador de hielo,specs.has_ice_dispenser,,,
4,catIPC,catIPC,,,
4,Tipo,specs.r_format_unicode,,,
4,Capacidad Refrigerador,specs.pretty_refrigerator_capacity,,,
4,Peso,specs.pretty_weight,,,
4,Frosting,specs.frosting_unicode,,,
5,Marca,brand_name,,,
5,Capacidad Secado,specs.drying_capacity_unicode,,,
5,Controles,specs.control_type_unicode,,,
5,Modelo,name,,,
5,Tamaño,specs.pretty_dimensions,,,
5,Material Tambor,specs.drum_material_unicode,,,
5,Tipo,specs.w_type_name,,,
5,Peso,specs.pretty_weight,,,
5,id,id,,,
5,Potencia,specs.power_unicode,,,
5,Carga,specs.w_format_unicode,,,
5,catIPC,catIPC,,,
5,Capacidad Lavado,specs.capacity_unicode,,,
5,Color,specs.color_unicode,,,
7,Marca,brand_name,,,
7,Color,specs.color_support_name,,,
7,Duplex,specs.is_duplex,,, 
7,Modelo,name,,,
7,Puerto,specs.port_port_name,,,
7,Red,specs.pretty_networking,,,
7,Tipo,specs.p_type_name,,,
7,Velocidad ByN,specs.bw_ppm,,,
7,Funciones,specs.additional_functions_name,,,
7,Tecnologia,specs.technology_name,,,
7,Velocidad Color,specs.color_ppm,,,
7,id,id,,,
7,url,url,,,
7,catIPC,catIPC,,,
