Año;Mes;División;Grupo;Clase;Subclase;Producto;Glosa;Ponderación;Índice;Variación Mensual ( % );Variación Acumulada ( % );Variación 12 Meses ( % );Incidencia Mensual ( % );Incidencia Acumulada ( % );Incidencia 12 Meses ( % ),,,,,,,,,,,
2014;1;;;;;;IPC General;;101,69;0,2;0,2;;;;,,,,,,,,
2014;1;1;;;;;ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS;19,05855;102,35;-0,4;-0,4;;-0,084;-0,084;,,,,,
2014;1;2;;;;;BEBIDAS ALCOHÓLICAS Y TABACO;3,31194;103,76;0,4;0,4;;0,013;0,013;,,,,,
2014;1;3;;;;;VESTUARIO Y CALZADO;4,48204;94,89;-2,8;-2,8;;-0,120;-0,120;,,,,,
2014;1;4;;;;;VIVIENDA Y SERVICIOS BÁSICOS;13,8281;103,03;0,4;0,4;;0,055;0,055;,,,,,
2014;1;5;;;;;EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;7,02041;100,73;0,1;0,1;;0,006;0,006;,,,,,
2014;1;6;;;;;SALUD;6,44131;101,71;0,9;0,9;;0,060;0,060;,,,,,
2014;1;7;;;;;TRANSPORTE;14,47381;102,83;1,1;1,1;;0,160;0,160;,,,,,
2014;1;8;;;;;COMUNICACIONES;5,00064;99,30;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;;;;;RECREACIÓN Y CULTURA;6,76121;100,69;0,8;0,8;;0,054;0,054;,,,,,
2014;1;10;;;;;EDUCACIÓN;8,08996;101,00;0,0;0,0;;0,002;0,002;,,,,,
2014;1;11;;;;;RESTAURANTES Y HOTELES;4,37454;104,92;0,8;0,8;;0,037;0,037;,,,,,
2014;1;12;;;;;BIENES Y SERVICIOS DIVERSOS;7,15749;100,64;-0,1;-0,1;;-0,004;-0,004;,,,,,
2014;1;1;1;;;;ALIMENTOS;16,97108;102,55;-0,4;-0,4;;-0,073;-0,073;,,,,,
2014;1;2;1;;;;BEBIDAS ALCOHÓLICAS;1,79981;101,52;0,7;0,7;;0,013;0,013;,,,,,
2014;1;3;1;;;;VESTUARIO;3,27868;95,93;-2,5;-2,5;;-0,079;-0,079;,,,,,
2014;1;4;1;;;;ARRIENDOS EFECTIVOS;4,16621;102,66;0,6;0,6;;0,025;0,025;,,,,,
2014;1;5;1;;;;MUEBLES Y ACCESORIOS PARA EL HOGAR;1,24688;100,4;1,0;1,0;;0,012;0,012;,,,,,
2014;1;6;1;;;;PRODUCTOS, ARTEFACTOS Y EQUIPOS MÉDICOS;2,53141;102,1;1,5;1,5;;0,039;0,039;,,,,
2014;1;7;1;;;;ADQUISICIÓN DE VEHÍCULOS;4,45134;102;1,2;1,2;;0,052;0,052;,,,,,,
2014;1;8;1;;;;EQUIPOS  TELEFÓNICOS;0,40978;87,31;0,0;0,0;;0,000;0,000;,,,,,
2014;1;9;1;;;;EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO INFORMÁTICO;1,87629;98,43;1,1;1,1;;0,019;0,019;,,,,
2014;1;10;1;;;;ENSEÑANZA PRE-ESCOLAR Y ENSEÑANZA BÁSICA (PRIMARIA);2,11003;101,1;0,0;0,0;;0,000;0,000;,,,,,
