Índice de Precios al Consumidor (IPC);;;;;;;;;;;;;;;
Cobertura Nacional - Año base 2018;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Año;Mes;DIVISION;GRUPO;CLASE;SUBCLASE;PRODUCTO;GLOSA;Ponderación;Índice;Variación Mensual  ( % );Variación Acumulada   ( % );Variación 12 Meses   ( % );Incidencia Mensual   ( % );Incidencia Acumulada    ( % );Incidencia 12 Meses    ( % )
2019;1;;;;;;IPC General; ;100.75;0.1;0.1; ; ; ; 
2019;1;1;;;;;ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS;1.930.131;100.50;-0.3;-0.3; ;-0.051;-0.051; 
2019;1;2;;;;;BEBIDAS ALCOHÓLICAS Y TABACO;477.767;102.07;1.7;1.7; ;0.079;0.079; 
2019;1;3;;;;;VESTUARIO Y CALZADO;350.596;98.36;-0.2;-0.2; ;-0.006;-0.006; 
2019;1;4;;;;;VIVIENDA Y SERVICIOS BÁSICOS;148.272;101.71;0.3;0.3; ;0.051;0.051; 
2019;1;5;;;;;EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;652.285;100.45;0.6;0.6; ;0.038;0.038; 
2019;1;6;;;;;SALUD;776.778;100.89;0.2;0.2; ;0.016;0.016; 
2019;1;7;;;;;TRANSPORTE;1.312.148;100.90;-0.2;-0.2; ;-0.026;-0.026; 
2019;1;8;;;;;COMUNICACIONES;545.488;97.59;-0.1;-0.1; ;-0.006;-0.006; 
2019;1;9;;;;;RECREACIÓN Y CULTURA;658.912;100.07;-0.8;-0.8; ;-0.050;-0.050; 
2019;1;10;;;;;EDUCACIÓN;659.568;100.90;0.0;0.0; ;-0.003;-0.003; 
2019;1;11;;;;;RESTAURANTES Y HOTELES;638.347;101.96;0.5;0.5; ;0.031;0.031; 
2019;1;12;;;;;BIENES Y SERVICIOS DIVERSOS;51.526;101.60;0.7;0.7; ;0.037;0.037; 
2019;1;1;1;;;;ALIMENTOS;1.713.731;100.32;-0.3;-0.3; ;-0.045;-0.045; 
2019;1;2;1;;;;BEBIDAS ALCOHÓLICAS;28.708;101.68;1.0;1.0; ;0.029;0.029; 
2019;1;3;1;;;;VESTUARIO;230.493;98.38;0.1;0.1; ;0.003;0.003; 
2019;1;4;1;;;;ARRIENDOS EFECTIVOS;552.872;102.11;0.3;0.3; ;0.019;0.019; 
2019;1;5;1;;;;MUEBLES Y ACCESORIOS PARA EL HOGAR;100.617;99.50;-0.4;-0.4; ;-0.004;-0.004; 
2019;1;6;1;;;;PRODUCTOS, ARTEFACTOS Y EQUIPOS MÉDICOS;289.864;100.72;-0.2;-0.2; ;-0.005;-0.005; 
2019;1;7;1;;;;ADQUISICIÓN DE VEHÍCULOS;325.706;99.41;0.8;0.8; ;0.025;0.025; 
2019;1;8;1;;;;EQUIPOS  TELEFÓNICOS;0.61378;94.82;-1.0;-1.0; ;-0.006;-0.006; 
2019;1;9;1;;;;EQUIPO AUDIOVISUAL, FOTOGRÁFICO Y DE PROCESAMIENTO INFORMÁTICO;106.133;95.80;1.3;1.3; ;0.013;0.013; 
2019;1;10;1;;;;ENSEÑANZA PRE-ESCOLAR Y ENSEÑANZA BÁSICA (PRIMARIA);172.331;100.61;0.0;0.0; ;0.000;0.000; 
2019;1;11;1;;;;SERVICIOS SUMINISTRADOS POR RESTAURANTES Y HOTELES;586.871;102.10;0.4;0.4; ;0.025;0.025; 
2019;1;12;1;;;;CUIDADO PERSONAL;278.308;101.34;0.8;0.8; ;0.022;0.022; 
2019;1;1;2;;;;BEBIDAS NO ALCOHÓLICAS;2.164;101.93;-0.3;-0.3; ;-0.007;-0.007; 
2019;1;2;2;;;;TABACO;190.687;102.67;2.7;2.7; ;0.051;0.051; 
2019;1;3;2;;;;CALZADO;120.103;98.32;-0.8;-0.8; ;-0.009;-0.009; 
2019;1;4;2;;;;CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA;171.195;103.46;0.4;0.4; ;0.007;0.007; 
2019;1;5;2;;;;TEXTILES PARA EL HOGAR;0.26025;96.47;1.5;1.5; ;0.004;0.004; 
2019;1;6;2;;;;SERVICIOS PARA PACIENTES EXTERNOS;389.758;100.86;0.3;0.3; ;0.013;0.013; 
2019;1;7;2;;;;FUNCIONAMIENTO DE VEHÍCULOS DE TRANSPORTE PERSONAL;554.238;100.68;-1.2;-1.2; ;-0.066;-0.066; 
2019;1;8;2;;;;SERVICIOS DE TELECOMUNICACIONES;48.411;97.95;0.0;0.0; ;0.000;0.000; 
